{'loss': 1.0049, 'grad_norm': 0.8111633062362671, 'learning_rate': 4.760422163588391e-05, 'epoch': 0.21}
{'loss': 0.9537, 'grad_norm': 0.8885392546653748, 'learning_rate': 4.749868073878628e-05, 'epoch': 0.21}
{'loss': 1.0113, 'grad_norm': 1.634639859199524, 'learning_rate': 4.7393139841688656e-05, 'epoch': 0.22}
{'loss': 0.9684, 'grad_norm': 2.221344470977783, 'learning_rate': 4.728759894459103e-05, 'epoch': 0.22}
{'loss': 0.9884, 'grad_norm': 1.4788132905960083, 'learning_rate': 4.7182058047493404e-05, 'epoch': 0.23}
{'loss': 0.98, 'grad_norm': 0.8205628395080566, 'learning_rate': 4.7076517150395784e-05, 'epoch': 0.23}
{'loss': 1.0457, 'grad_norm': 0.6724016070365906, 'learning_rate': 4.697097625329815e-05, 'epoch': 0.23}
{'loss': 1.0777, 'grad_norm': 2.687943935394287, 'learning_rate': 4.686543535620053e-05, 'epoch': 0.24}
{'loss': 1.0409, 'grad_norm': 1.528042197227478, 'learning_rate': 4.6759894459102906e-05, 'epoch': 0.24}
{'loss': 1.0217, 'grad_norm': 1.3486950397491455, 'learning_rate': 4.665435356200528e-05, 'epoch': 0.25}
{'loss': 1.0591, 'grad_norm': 1.636777400970459, 'learning_rate': 4.654881266490765e-05, 'epoch': 0.25}
{'loss': 1.0315, 'grad_norm': 0.760330855846405, 'learning_rate': 4.644327176781003e-05, 'epoch': 0.25}
{'loss': 1.0446, 'grad_norm': 1.4724966287612915, 'learning_rate': 4.63377308707124e-05, 'epoch': 0.26}
{'loss': 1.0335, 'grad_norm': 1.5875176191329956, 'learning_rate': 4.6232189973614775e-05, 'epoch': 0.26}
{'loss': 1.0037, 'grad_norm': 0.7813085317611694, 'learning_rate': 4.6126649076517155e-05, 'epoch': 0.27}
{'loss': 1.0468, 'grad_norm': 2.083732843399048, 'learning_rate': 4.602110817941952e-05, 'epoch': 0.27}
{'loss': 0.9786, 'grad_norm': 0.9381546974182129, 'learning_rate': 4.59155672823219e-05, 'epoch': 0.27}
{'loss': 1.0165, 'grad_norm': 1.0367788076400757, 'learning_rate': 4.581002638522428e-05, 'epoch': 0.28}
{'loss': 0.9781, 'grad_norm': 1.4772124290466309, 'learning_rate': 4.570448548812665e-05, 'epoch': 0.28}
{'loss': 0.9802, 'grad_norm': 1.0782071352005005, 'learning_rate': 4.5598944591029025e-05, 'epoch': 0.29}
{'loss': 1.0062, 'grad_norm': 1.4452028274536133, 'learning_rate': 4.5493403693931405e-05, 'epoch': 0.29}
{'loss': 0.9731, 'grad_norm': 1.1499091386795044, 'learning_rate': 4.538786279683377e-05, 'epoch': 0.29}
{'loss': 1.0217, 'grad_norm': 1.3147023916244507, 'learning_rate': 4.528232189973615e-05, 'epoch': 0.3}
{'loss': 0.9821, 'grad_norm': 2.6547837257385254, 'learning_rate': 4.517678100263853e-05, 'epoch': 0.3}
{'loss': 0.9778, 'grad_norm': 0.7566653490066528, 'learning_rate': 4.50712401055409e-05, 'epoch': 0.31}
{'loss': 1.0282, 'grad_norm': 0.7647019624710083, 'learning_rate': 4.4965699208443275e-05, 'epoch': 0.31}
{'loss': 0.97, 'grad_norm': 1.6872330904006958, 'learning_rate': 4.486015831134565e-05, 'epoch': 0.31}
{'loss': 1.0176, 'grad_norm': 0.879879355430603, 'learning_rate': 4.475461741424802e-05, 'epoch': 0.32}
{'loss': 0.9678, 'grad_norm': 1.917268991470337, 'learning_rate': 4.4649076517150396e-05, 'epoch': 0.32}
{'loss': 0.9707, 'grad_norm': 0.8108099102973938, 'learning_rate': 4.454353562005277e-05, 'epoch': 0.33}
{'loss': 1.02, 'grad_norm': 1.3374515771865845, 'learning_rate': 4.4437994722955144e-05, 'epoch': 0.33}
{'loss': 0.9823, 'grad_norm': 0.7150129079818726, 'learning_rate': 4.4332453825857524e-05, 'epoch': 0.33}
{'loss': 1.0033, 'grad_norm': 1.8774669170379639, 'learning_rate': 4.42269129287599e-05, 'epoch': 0.34}
{'loss': 0.9634, 'grad_norm': 0.8959944844245911, 'learning_rate': 4.412137203166227e-05, 'epoch': 0.34}
{'loss': 0.9596, 'grad_norm': 0.7706716060638428, 'learning_rate': 4.4015831134564646e-05, 'epoch': 0.35}
{'loss': 0.9882, 'grad_norm': 1.0425300598144531, 'learning_rate': 4.391029023746702e-05, 'epoch': 0.35}
{'loss': 0.9536, 'grad_norm': 0.895557165145874, 'learning_rate': 4.3804749340369394e-05, 'epoch': 0.35}
{'loss': 1.0086, 'grad_norm': 1.0854599475860596, 'learning_rate': 4.3699208443271774e-05, 'epoch': 0.36}
{'loss': 0.9671, 'grad_norm': 0.7729347944259644, 'learning_rate': 4.359366754617414e-05, 'epoch': 0.36}
{'loss': 0.9537, 'grad_norm': 0.8712743520736694, 'learning_rate': 4.348812664907652e-05, 'epoch': 0.37}
{'loss': 0.9943, 'grad_norm': 0.9350442290306091, 'learning_rate': 4.3382585751978896e-05, 'epoch': 0.37}
